title,company,location,role,posted,link,found_on,is_new,entry_level
Performance Data Systems Engineer,Peraton,—,Data Engineer,2026-05-19,https://careers-peraton.icims.com/jobs/162545/performance-data-systems-engineer/job,2026-05-21 16:10,True,False
Ai Ml Software Engineer,Peraton,—,AI Engineer,2026-05-19,https://careers-peraton.icims.com/jobs/165021/ai-ml-software-engineer/job,2026-05-21 16:10,True,False
Data Management Systems Engineer Ts Sci W Poly,Peraton,—,Data Engineer,2026-05-19,https://careers-peraton.icims.com/jobs/166150/data-management-systems-engineer-ts-sci-w-poly/job,2026-05-21 16:10,True,False
Software Data Engineer,Peraton,—,Data Engineer,2026-05-19,https://careers-peraton.icims.com/jobs/166530/software-data-engineer/job,2026-05-21 16:10,True,False
"Prompt Engineer, Ai",Herbalife,—,AI Engineer,2026-05-19,https://careers-herbalife.icims.com/jobs/18612/prompt-engineer%2c-ai/job,2026-05-21 16:10,True,False
Gis Data Engineer Ii,HERE Technologies,—,Data Engineer,2026-05-19,https://careers-here.icims.com/jobs/81013/gis-data-engineer-ii/job,2026-05-21 16:10,True,False
Mlops Catastrophe & Geo Analytics,Mercury Insurance,—,Analytics,2026-05-20,https://careers-mercuryinsurance.icims.com/jobs/6430/mlops-catastrophe-%26-geo-analytics/job,2026-05-21 16:10,True,False
Data Analyst (Business Operations),QinetiQ US,—,Data Analyst,2026-05-20,https://careers-qinetiqus.icims.com/jobs/12110/data-analyst-%28business-operations%29/job,2026-05-21 16:10,True,False
Data Engineer - Databricks,Steampunk,—,Data Engineer,2026-05-20,https://careers-steampunk.icims.com/jobs/7767/data-engineer---databricks/job,2026-05-21 16:10,True,False
Ai Innovation Engineer,Steampunk,—,AI Engineer,2026-05-19,https://careers-steampunk.icims.com/jobs/7509/ai-innovation-engineer/job,2026-05-21 16:10,True,False
Ai Innovation Engineer,Steampunk,—,AI Engineer,2026-05-19,https://careers-steampunk.icims.com/jobs/7771/ai-innovation-engineer/job,2026-05-21 16:10,True,False
Oracle Power Bi Data Analyst,Sazerac,—,Business Intelligence,2026-05-20,https://careers-sazerac.icims.com/jobs/15611/oracle-power-bi-data-analyst/job,2026-05-21 16:10,True,False
Data Analytics Analyst,Canon USA,—,Data Analyst,2026-05-21,https://external-canoncareers.icims.com/jobs/34036/data-analytics-analyst/job,2026-05-21 16:10,True,False
