job_id,title,company,location,posted,url,found_at
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 11:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 11:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 11:45 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 11:45 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 11:45 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 12:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 12:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 12:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 12:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 12:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 12:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 12:45 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 12:45 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 12:45 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 13:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 13:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 13:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 13:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 13:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 13:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 13:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 13:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 13:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 13:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 14:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 14:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 14:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 14:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 14:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 14:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 14:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 14:46 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 14:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 14:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 15:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 15:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 15:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 15:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 15:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 15:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 15:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 15:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 15:31 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 15:46 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 15:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 15:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 16:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 16:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 16:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 16:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 16:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 16:16 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 16:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 16:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 16:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 16:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 16:46 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 17:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 17:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 17:15 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 17:15 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 17:31 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 17:31 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 17:46 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 17:46 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 18:01 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 18:01 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 18:01 UTC
159418,"Machine Learning Engineer II - AV Foundation, AV Labs",Uber,Sunnyvale,2026-05-13,https://jobs.uber.com/en/job/159418,2026-06-02 18:16 UTC
155773,"Data Analyst, Measurement Science, Ads",Uber,Chicago,2026-02-17,https://jobs.uber.com/en/job/155773,2026-06-02 18:16 UTC
154613,Software Engineer II - Android Engineer,Uber,San Francisco / Sunnyvale,2026-01-28,https://jobs.uber.com/en/job/154613,2026-06-02 18:16 UTC
