source,job_id,title,company,location,role,posted,url,found_at
rippling,2c51156a-8781-4d7c-b5fc-1fc83470fcd8,Manufacturing Data Analyst,Ascentt,"Plano, TX",Data Analyst,,https://ats.rippling.com/ascentt/jobs/2c51156a-8781-4d7c-b5fc-1fc83470fcd8,2026-05-15 15:50 UTC
rippling,2c51156a-8781-4d7c-b5fc-1fc83470fcd8,Manufacturing Data Analyst,Ascentt,On_site,Data Analyst,,https://ats.rippling.com/ascentt/jobs/2c51156a-8781-4d7c-b5fc-1fc83470fcd8,2026-05-15 15:50 UTC
rippling,2c51156a-8781-4d7c-b5fc-1fc83470fcd8,Manufacturing Data Analyst,Ascentt,On_site,Data Analyst,,https://ats.rippling.com/ascentt/jobs/2c51156a-8781-4d7c-b5fc-1fc83470fcd8,2026-05-15 15:50 UTC
rippling,2c51156a-8781-4d7c-b5fc-1fc83470fcd8,Manufacturing Data Analyst,Ascentt,On_site,Data Analyst,,https://ats.rippling.com/ascentt/jobs/2c51156a-8781-4d7c-b5fc-1fc83470fcd8,2026-05-15 15:50 UTC
greenhouse,4695600005,Visual Data Labeling Technician I (Part-Time),Astspacemobile,"Midland, Texas, United States",Data,2026-05-14T17:51:33-04:00,https://ast-science.com/company/careers/?gh_jid=4695600005,2026-05-15 15:56 UTC
greenhouse,7734086003,Technical Integration & Data Management SME,Indopacific,"Aiea, HI",Data,2026-05-14T11:58:47-04:00,https://www.smxtech.com/careers/leia/?gh_jid=7734086003,2026-05-15 15:56 UTC
greenhouse,4244568009,QC Data Specialist I,Monsterenergy,"USA - Corona, CA",Data,2026-05-14T16:28:31-04:00,https://job-boards.greenhouse.io/monsterenergy/jobs/4244568009,2026-05-15 15:56 UTC
rippling,2901e349-be92-4949-b3c3-309c7707ec78,Product Data Specialist,Luma Financial Technologies,"Cincinnati, OH",Data,,https://ats.rippling.com/luma-financial-technologies/jobs/2901e349-be92-4949-b3c3-309c7707ec78,2026-05-15 15:59 UTC
rippling,329f68e4-fdf8-4a69-9089-484cdb719a97,Product Analytics Data Scientist,Crisp,Remote,Data Scientist,,https://ats.rippling.com/crisp-careers/jobs/329f68e4-fdf8-4a69-9089-484cdb719a97,2026-05-15 15:59 UTC
rippling,d4836253-0588-4352-91a1-745d41a8cd33,Data Platform Engineer,Vector Health AI,Remote,Engineer,,https://ats.rippling.com/vectorhealthai/jobs/d4836253-0588-4352-91a1-745d41a8cd33,2026-05-15 15:59 UTC
rippling,fbbe2be7-554a-46f7-b43a-e96d005b3c94,C2H UX Data Researcher,HTX Labs,Remote,Data,,https://ats.rippling.com/htx-labs-careers/jobs/fbbe2be7-554a-46f7-b43a-e96d005b3c94,2026-05-15 15:59 UTC
rippling,15aac6e3-d614-4ed4-bea5-57dfa09406b5,"Data Analyst, Insurance",The Guarantors,"New York, NY",Data Analyst,,https://ats.rippling.com/theguarantors-open-positions/jobs/15aac6e3-d614-4ed4-bea5-57dfa09406b5,2026-05-15 15:59 UTC
rippling,b2778b89-8966-45f9-a6af-134f04c099c3,Data Engineer II,ReUp Education,"Austin, TX",Data Engineer,,https://ats.rippling.com/reup-education/jobs/b2778b89-8966-45f9-a6af-134f04c099c3,2026-05-15 15:59 UTC
rippling,0a3a4d00-65a2-4cc6-a6ac-df8b037b04ca,SME Consultant - Data Center Maintenance,Interplay Learning,Remote,Data,,https://ats.rippling.com/interplaylearning/jobs/0a3a4d00-65a2-4cc6-a6ac-df8b037b04ca,2026-05-15 15:59 UTC
rippling,10a93328-d166-4e9f-ae6f-9e1c758919d4,Data Engineer – Azure Cloud & Security,AspenView Technology Partners,Remote,Data Engineer,,https://ats.rippling.com/aspenview/jobs/10a93328-d166-4e9f-ae6f-9e1c758919d4,2026-05-15 15:59 UTC
rippling,10a93328-d166-4e9f-ae6f-9e1c758919d4,Data Engineer – Azure Cloud & Security,AspenView Technology Partners,Remote,Data Engineer,,https://ats.rippling.com/aspenview/jobs/10a93328-d166-4e9f-ae6f-9e1c758919d4,2026-05-15 15:59 UTC
rippling,18a67303-e3ff-4fe3-8bc3-f17702716f92,Forward-Deployed Data Engineer,Gridsight,"Austin, TX | San Francisco, CA",Data Engineer,,https://ats.rippling.com/gridsight/jobs/18a67303-e3ff-4fe3-8bc3-f17702716f92,2026-05-15 15:59 UTC
rippling,40a0964a-685c-4dbc-9829-0f667b04f37c,Data Analytics Intern,Veryable,"Dallas, TX",Data,,https://ats.rippling.com/veryable-careers/jobs/40a0964a-685c-4dbc-9829-0f667b04f37c,2026-05-15 15:59 UTC
rippling,bf52e592-f513-4674-bfae-4f81d27245d9,Data Warehousing Architect,Partner.Co,Remote,Data,,https://ats.rippling.com/partnerco/jobs/bf52e592-f513-4674-bfae-4f81d27245d9,2026-05-15 15:59 UTC
rippling,e2e4aa87-10eb-4447-9291-48f230c6b359,Data Management Specialist (Skill Level 2),Strategic Analytix,"Fort Meade, MD",Data,,https://ats.rippling.com/strategic-analytix-careers/jobs/e2e4aa87-10eb-4447-9291-48f230c6b359,2026-05-15 15:59 UTC
rippling,fe782019-3086-44dd-a630-cd15c7859fb6,"Data Architect, Data Platform (Azure)",CargoSprint,Remote,Data,,https://ats.rippling.com/cargosprint/jobs/fe782019-3086-44dd-a630-cd15c7859fb6,2026-05-15 15:59 UTC
rippling,96ff911d-8b4d-4ec6-8fc1-b33dbaa1bfb9,Teamcenter Data Architect,Accelint Holdings,"St. Paul, MN | Remote",Data,,https://ats.rippling.com/accelint-holdings-llc/jobs/96ff911d-8b4d-4ec6-8fc1-b33dbaa1bfb9,2026-05-15 15:59 UTC
rippling,bbd5824a-0f55-41b2-be29-9b63ec6cee81,Windchill Data Migration Developer,Accelint Holdings,Remote,Developer,,https://ats.rippling.com/accelint-holdings-llc/jobs/bbd5824a-0f55-41b2-be29-9b63ec6cee81,2026-05-15 15:59 UTC
rippling,8ee62dfb-9cab-4e4d-8491-b61340979070,Data Engineer,All Generation Tech,Remote,Data Engineer,,https://ats.rippling.com/all-generation-tech/jobs/8ee62dfb-9cab-4e4d-8491-b61340979070,2026-05-15 15:59 UTC
rippling,5ff3ceb6-3d21-46ed-a63c-c6f4920ea2d2,Data Governance Engineer,All Generation Tech,Remote,Engineer,,https://ats.rippling.com/all-generation-tech/jobs/5ff3ceb6-3d21-46ed-a63c-c6f4920ea2d2,2026-05-15 15:59 UTC
rippling,0dab8a64-4b0e-4a50-a69e-8706bce5afa2,Master Data Management Engineer,All Generation Tech,Remote,Engineer,,https://ats.rippling.com/all-generation-tech/jobs/0dab8a64-4b0e-4a50-a69e-8706bce5afa2,2026-05-15 15:59 UTC
rippling,f2b82c7f-7322-4108-ba9e-c278804f4f5d,AI & Data Engineer - Mid Role,All Generation Tech,Remote,Data Engineer,,https://ats.rippling.com/all-generation-tech/jobs/f2b82c7f-7322-4108-ba9e-c278804f4f5d,2026-05-15 15:59 UTC
rippling,d6f795d6-9e2d-4387-b3c0-3a84b3d00e79,Data Engineer,GenLogs,Remote,Data Engineer,,https://ats.rippling.com/genlogs-corporation/jobs/d6f795d6-9e2d-4387-b3c0-3a84b3d00e79,2026-05-15 15:59 UTC
rippling,127f98d1-b702-4395-a25c-0f7ebc98881b,Data Scientist,GenLogs,Remote,Data Scientist,,https://ats.rippling.com/genlogs-corporation/jobs/127f98d1-b702-4395-a25c-0f7ebc98881b,2026-05-15 15:59 UTC
rippling,1835839c-bc52-4b4d-beae-f4200c0ba244,Data Analyst - Custom Software,SPARK Business Works,"Kalamazoo, MI",Data Analyst,,https://ats.rippling.com/sparkbusinessworks/jobs/1835839c-bc52-4b4d-beae-f4200c0ba244,2026-05-15 15:59 UTC
rippling,1835839c-bc52-4b4d-beae-f4200c0ba244,Data Analyst - Custom Software,SPARK Business Works,"Grand Rapids, MI",Data Analyst,,https://ats.rippling.com/sparkbusinessworks/jobs/1835839c-bc52-4b4d-beae-f4200c0ba244,2026-05-15 15:59 UTC
rippling,a9ff8979-8727-4787-9c99-969b3ad7254b,Data Engineer,Sennos,"Durham, NC | Remote",Data Engineer,,https://ats.rippling.com/sennos/jobs/a9ff8979-8727-4787-9c99-969b3ad7254b,2026-05-15 15:59 UTC
greenhouse,7909273,Data Analyst,Doximity,"San Francisco, CA or Remote (U.S.)",Data Analyst,2026-05-15T12:48:04-04:00,https://job-boards.greenhouse.io/doximity/jobs/7909273,2026-05-15 16:56 UTC
greenhouse,7909276,Data Analyst (Hybrid),Doximity,"San Francisco, CA",Data Analyst,2026-05-15T12:48:10-04:00,https://job-boards.greenhouse.io/doximity/jobs/7909276,2026-05-15 16:56 UTC
greenhouse,4249648009,Data Annotation Specialist- Spanish Language,Innodatainc,Remote - Florida,Data,2026-05-15T13:01:02-04:00,https://job-boards.greenhouse.io/innodatainc/jobs/4249648009,2026-05-15 17:06 UTC
greenhouse,8552192002,Field Service Technician (Data Center cooling systems),Neweratech,"Springfield, OH",Data,2026-05-15T13:17:11-04:00,https://job-boards.greenhouse.io/neweratech/jobs/8552192002,2026-05-15 17:26 UTC
greenhouse,7735968003,Data Operations Analyst,Ieqcapital,"Foster City, CA",Analyst,2026-05-15T14:30:28-04:00,https://job-boards.greenhouse.io/ieqcapital/jobs/7735968003,2026-05-15 18:36 UTC
greenhouse,5222564008,Data Analyst,9Thwayinsignia,"Washington, District of Columbia, United States",Data Analyst,2026-05-15T15:42:52-04:00,https://job-boards.greenhouse.io/9thwayinsignia/jobs/5222564008,2026-05-15 19:46 UTC
greenhouse,5139301007,System and Technical Data Analyst,Ironmountainsolutions,"Huntsville, AL",Data Analyst,2026-05-15T16:02:13-04:00,https://job-boards.greenhouse.io/ironmountainsolutions/jobs/5139301007,2026-05-15 20:06 UTC
greenhouse,5994676004,Data Scientist,Prove,United States,Data Scientist,2026-05-15T16:34:15-04:00,https://job-boards.greenhouse.io/prove/jobs/5994676004,2026-05-15 20:36 UTC
greenhouse,8551853002,Data Center Repair Technician,Eositsolutions,"Hillsboro, Oregon, United States",Data,2026-05-15T16:37:28-04:00,https://eosits.com/company/careers/?gh_jid=8551853002,2026-05-15 20:46 UTC
greenhouse,8552271002,Data Center Technician,Eositsolutions,"Prineville, Oregon, United States",Data,2026-05-15T16:36:19-04:00,https://eosits.com/company/careers/?gh_jid=8552271002,2026-05-15 20:46 UTC
greenhouse,5222572008,Data Scientist,9Thwayinsignia,"Washington, District of Columbia, United States",Data Scientist,2026-05-15T15:52:39-04:00,https://job-boards.greenhouse.io/9thwayinsignia/jobs/5222572008,2026-05-15 21:06 UTC
greenhouse,4685860005,DATA COORDINATOR,Inter,"Belo Horizonte, MG",Data,2026-05-15T17:44:17-04:00,https://boards.greenhouse.io/inter/jobs/4685860005?gh_jid=4685860005,2026-05-15 21:46 UTC
greenhouse,8553025002,Master Data Administrator,Filson,"Seattle, WA",Data,2026-05-15T18:57:54-04:00,https://job-boards.greenhouse.io/filson/jobs/8553025002,2026-05-15 23:06 UTC
greenhouse,8552660002,Data & Control Systems Engineer,SpaceX,"Cape Canaveral, FL",Engineer,2026-05-15T16:32:00-04:00,https://boards.greenhouse.io/spacex/jobs/8552660002?gh_jid=8552660002,2026-05-16 00:26 UTC
greenhouse,8552428002,Data & Control Systems Technician,SpaceX,"McGregor, TX",Data,2026-05-15T17:37:22-04:00,https://boards.greenhouse.io/spacex/jobs/8552428002?gh_jid=8552428002,2026-05-16 00:26 UTC
greenhouse,8553080002,"Full Stack Software Engineer, Data",SpaceX,"Starbase, TX",Software Engineer,2026-05-15T20:03:53-04:00,https://boards.greenhouse.io/spacex/jobs/8553080002?gh_jid=8553080002,2026-05-16 00:26 UTC
greenhouse,8553026002,"Full Stack Software Engineer, Data",SpaceX,"Hawthorne, CA",Software Engineer,2026-05-15T18:46:46-04:00,https://boards.greenhouse.io/spacex/jobs/8553026002?gh_jid=8553026002,2026-05-16 00:26 UTC
